GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
catalogo-carrinho,ragatanga.exception,CouponExpiredException,4,0,0,0,2,0,1,0,1,0
catalogo-carrinho,ragatanga.exception,InsufficientStockException,4,0,0,0,1,0,1,0,1,0
catalogo-carrinho,ragatanga.model,Carrinho,32,0,2,0,7,0,5,0,4,0
catalogo-carrinho,ragatanga.model,ItemCarrinho,15,0,0,0,6,0,3,0,3,0
catalogo-carrinho,ragatanga.model,Produto,21,0,0,0,8,0,4,0,4,0
catalogo-carrinho,ragatanga.repository,InMemoryEstoqueRepository,51,0,2,0,10,0,5,0,4,0
catalogo-carrinho,ragatanga.external,FakeFreteAPI,17,0,0,0,4,0,2,0,2,0
catalogo-carrinho,ragatanga.service,PaymentResult,9,0,0,0,1,0,1,0,1,0
catalogo-carrinho,ragatanga.service,FakeEmailService,21,0,0,0,5,0,3,0,3,0
catalogo-carrinho,ragatanga.service,CarrinhoService,127,0,6,0,26,0,6,0,3,0
catalogo-carrinho,ragatanga.service,FakePaymentGateway,31,0,2,0,6,0,3,0,2,0
catalogo-carrinho,ragatanga.service,PaymentRequest,9,0,0,0,1,0,1,0,1,0
